,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
217,korem,0,ET,1612048808,80,12.5058,39.5228,45.95,2.77
218,davila,75,PH,1612048808,68,18.4726,120.5763,68.0,2.3
219,labuhan,83,ID,1612048809,87,-6.8844,112.2051,77.18,6.78
220,guerrero negro,74,MX,1612048640,30,17.6667,-100.0,81.18,2.35
221,east london,75,IS,1612048601,78,65.0,-15.0,8.6,5.75
222,cap-aux-meules,100,CA,1612048809,86,47.3821,-61.8597,24.8,25.32
223,buraydah,0,SA,1612048657,71,26.326,43.975,50.0,5.75
224,itoman,40,JP,1612048810,63,26.1247,127.6694,60.8,6.91
225,roald,20,NO,1612048810,93,62.5833,6.1333,30.0,5.75
226,kavaratti,29,IN,1612048751,70,10.5669,72.642,80.64,7.16
227,kenai,1,US,1612048810,93,60.5544,-151.2583,17.6,4.61
228,port lincoln,78,CD,1612048781,66,-7.0349,29.7638,72.18,5.57
229,ostrovnoy,100,RU,1612048811,95,68.0531,39.5131,14.07,7.78
230,katsuura,20,JP,1612048811,56,35.1333,140.3,41.0,8.05
231,wundanyi,100,KE,1612048811,100,-3.4019,38.364,60.51,3.02
232,cairns,100,AU,1612048786,65,-16.9167,145.7667,88.0,6.91
233,bom despacho,0,ML,1612048811,24,14.9539,-2.9272,64.78,4.5
234,alyangula,15,AU,1612048811,70,-13.8483,136.4192,86.0,9.22
235,dehloran,9,IR,1612048812,52,32.6941,47.2679,49.41,1.16
236,parrita,20,CR,1612048812,68,9.5201,-84.3225,75.2,19.57
237,soledad,0,CO,1612048812,69,10.9184,-74.7646,80.6,18.41
238,yumen,0,CN,1612048812,74,40.2833,97.2,21.94,24.72
239,souillac,40,MU,1612048812,89,-20.5167,57.5167,78.8,3.44
240,kununurra,100,AU,1612048812,100,-15.7667,128.7333,80.6,3.44
241,kralendijk,40,BQ,1612048548,69,12.15,-68.2667,80.6,17.27
242,vicuna,75,CL,1612048813,82,-30.0319,-70.7081,66.2,9.22
243,meulaboh,88,ID,1612048813,85,4.1363,96.1285,74.84,4.56
244,nakusp,70,CA,1612048813,86,50.2499,-117.8023,33.8,1.14
245,ventspils,90,LV,1612048813,80,57.3894,21.5606,30.2,11.5
246,grand gaube,1,US,1612048813,34,38.8755,-109.5012,46.4,10.36
247,mpika,100,ZM,1612048813,91,-11.8343,31.4529,62.04,1.5
248,wajima,75,JP,1612048814,80,37.4,136.9,32.0,5.75
249,comodoro rivadavia,48,BR,1612048814,94,-13.6631,-59.7858,72.54,3.67
250,port alfred,78,CD,1612048814,66,-7.0349,29.7638,72.18,5.57
251,kinkala,94,CG,1612048814,94,-4.3614,14.7644,71.6,1.83
252,rio grande,20,GR,1612048815,93,38.3,21.7833,53.01,4.63
253,miraflores,1,MX,1612048815,20,19.2167,-98.8083,75.2,5.75
254,kaseda,20,JP,1612048815,86,31.4167,130.3167,32.0,4.68
255,alofi,100,NU,1612048815,78,-19.0595,-169.9187,82.4,12.66
256,ribeira grande,40,ES,1612048815,81,42.7461,-8.4439,55.99,9.22
257,sambava,3,MG,1612048816,87,-14.2667,50.1667,76.23,5.84
258,san ciro de acosta,0,ML,1612048816,19,13.3034,-4.8956,72.21,9.13
259,arrecife,75,ES,1612048816,77,28.963,-13.5477,64.4,13.8
260,chkalovsk,90,RU,1612048816,74,56.7647,43.2433,26.6,11.18
261,sinegorye,100,RU,1612048816,81,62.0788,150.477,-27.47,5.95
262,pevek,2,RU,1612048817,84,69.7008,170.3133,-32.84,3.74
263,zabaykalsk,100,RU,1612048817,87,49.6333,117.3167,-17.09,4.47
264,mount isa,41,GB,1612048817,88,53.6597,-1.8537,32.0,3.0
265,hobyo,22,SO,1612048817,79,5.3505,48.5268,74.93,15.57
266,colares,67,PT,1612048817,83,38.7992,-9.4469,57.99,17.83
267,kisanga,51,TZ,1612048817,86,-7.4362,37.7034,74.14,3.94
268,port hedland,78,CD,1612048805,66,-7.0349,29.7638,72.18,5.57
269,yulara,45,AU,1612048818,28,-25.2406,130.9889,84.2,17.27
270,tabuk,100,PH,1612048818,87,17.4189,121.4443,63.75,2.84
271,pleasanton,1,US,1612048672,47,37.6624,-121.8747,61.0,9.22
272,bogorodskoye,100,RU,1612048818,97,56.55,37.8833,20.88,9.28
273,kadnikov,100,RU,1612048819,97,59.5022,40.338,21.6,10.45
274,krasnoselkup,90,RU,1612048819,82,65.7,82.4667,-28.07,10.6
275,wanning,62,CN,1612048819,85,18.8003,110.3967,68.16,9.53
276,eisenerz,100,AT,1612048819,91,47.5333,14.8833,30.0,3.36
277,north bend,90,FR,1612048820,87,50.3333,3.6667,37.0,17.27
278,itapaci,54,BR,1612048820,81,-14.9508,-49.5494,73.47,2.95
279,matamoros,20,MX,1612048820,13,25.5333,-103.25,87.8,5.1
280,port keats,78,CD,1612048805,66,-7.0349,29.7638,72.18,5.57
281,dong hoi,91,CM,1612048821,74,4.895,12.0057,71.98,3.29
282,cienfuegos,1,CU,1612048821,64,22.1461,-80.4356,73.4,8.05
283,nushki,27,PK,1612048821,29,29.5542,66.0215,57.16,5.68
284,zhuhai,0,CN,1612048821,72,22.2769,113.5678,64.0,9.22
285,hope,93,US,1612048821,70,33.6671,-93.5916,61.0,4.0
286,belaya gora,100,UA,1612048821,79,49.029,25.7706,30.0,16.87
287,tiksi,100,RU,1612048822,86,71.6872,128.8694,-27.31,5.32
288,surt,0,LY,1612048822,42,31.2089,16.5887,65.71,11.59
289,kysyl-syr,59,RU,1612048822,76,63.8986,122.7617,-52.38,2.98
290,mbini,75,GQ,1612048822,100,1.574,9.6134,78.8,7.27
291,pisco,0,PE,1612048822,68,-13.7,-76.2167,73.4,18.41
292,inhambane,6,MZ,1612048823,81,-23.865,35.3833,78.57,6.58
293,warrington,0,GB,1612048823,80,53.3925,-2.5802,36.0,13.8
294,tessalit,21,ML,1612048823,22,20.1986,1.0114,63.95,12.91
295,merauke,100,ID,1612048823,85,-8.4667,140.3333,80.51,10.22
296,takestan,0,IR,1612048823,69,36.0696,49.6959,30.2,7.85
297,lavrentiya,0,RU,1612048823,84,65.5833,-171.0,-17.01,5.5
298,bilibino,1,RU,1612048824,79,68.0546,166.4372,-28.23,5.77
299,nakamura,3,JP,1612048824,83,32.9833,132.9333,41.11,3.6
300,hammerfest,75,NO,1612048803,80,70.6634,23.6821,26.6,10.36
301,north myrtle beach,90,FR,1612048650,87,50.3333,3.6667,37.0,17.27
302,upernavik,37,GL,1612048824,85,72.7868,-56.1549,-9.51,6.69
303,half moon bay,75,LR,1612048825,94,6.3807,-10.6953,77.0,6.82
304,peterongan,20,ID,1612048825,94,-7.5394,112.2792,75.2,10.36
305,aklavik,75,CA,1612048825,76,68.2191,-135.0107,-16.6,4.61
306,jinzhou,95,CN,1612048825,85,41.1078,121.1417,13.06,2.89
307,bengkulu,98,ID,1612048825,93,-3.8004,102.2655,75.24,10.16
308,chuy,52,UY,1612048615,79,-33.6971,-53.4616,74.03,13.53
309,nelson,0,NZ,1612048542,43,-41.2833,173.2833,75.99,1.01
310,taywarah,58,AF,1612048826,82,33.35,64.4167,30.02,6.38
311,new bern,75,LR,1612048783,94,6.6518,-10.5932,77.0,2.71
312,bowen,75,AU,1612048826,78,-20.0167,148.2333,80.6,13.8
313,sitka,75,US,1612048826,52,57.0531,-135.33,41.0,11.5
314,coari,99,BR,1612048827,95,-4.085,-63.1414,76.96,2.53
315,vila franca do campo,100,PT,1612048827,92,42.0304,-8.1588,46.99,15.99
316,santa cruz cabralia,91,PH,1612048799,71,17.486,120.4348,66.83,10.33
317,saint-georges,20,GD,1612048827,74,12.0564,-61.7485,80.6,11.5
318,rumia,75,PL,1612048827,74,54.5709,18.388,26.6,14.97
319,khani,0,GE,1612048828,81,41.9563,42.9566,41.0,9.22
